Code,1,2,3,4,5,6
SCHLIDR15,0.005,0.9702,0.0049,0.0073,0.0046,0.008
SCHLIDR76,0.0102,0.9471,0.0062,0.0153,0.0066,0.0146
HAN001,0.0692,0.0896,0.0052,0.263,0.1113,0.4617
RIETH1,0.1636,0.0381,0.0036,0.013,0.0356,0.7461
RIETH4,0.1765,0.0274,0.005,0.5639,0.0485,0.1786
RIETH5,0.4479,0.1028,0.0039,0.0469,0.0982,0.3004
SCHLIGR159,0.0066,0.9535,0.004,0.0136,0.0119,0.0106
SCHLIGR3,0.0052,0.912,0.0043,0.0206,0.0089,0.049
BOHBU128,0.6383,0.0064,0.0117,0.2987,0.0101,0.0348
SCHLIGR29,0.0092,0.9393,0.0032,0.0119,0.0162,0.0201
SCHLIGR46,0.006,0.9684,0.0034,0.006,0.0071,0.009
RIETH26,0.1443,0.1594,0.006,0.1064,0.0171,0.5669
SCHLIGR88,0.008,0.9597,0.004,0.005,0.0072,0.0161
SCHLIGR40,0.004,0.9593,0.0042,0.0076,0.0063,0.0186
SCHLIGR12,0.0041,0.9714,0.0037,0.0052,0.0073,0.0082
SCHLIGR7,0.0051,0.9748,0.004,0.005,0.005,0.0061
SCHLIGR119,0.005,0.9739,0.004,0.0049,0.0051,0.0071
SCHLIGR34,0.0044,0.9741,0.003,0.0049,0.0056,0.008
SCHLIGR18,0.0044,0.9764,0.0032,0.0049,0.005,0.006
BOHBU257,0.0097,0.0046,0.0056,0.9661,0.0053,0.0088
BOHBU91,0.7375,0.0079,0.0031,0.2048,0.0248,0.0219
SCHLIGR98,0.005,0.9171,0.0283,0.005,0.0368,0.0078
BOHBU54,0.0462,0.0271,0.0049,0.0173,0.8669,0.0375
BOHBU8,0.3105,0.0481,0.0031,0.3102,0.3019,0.0261
BOHHAS2,0.8616,0.0131,0.003,0.0271,0.075,0.0201
UEBERL1,0.0224,0.0163,0.0049,0.016,0.9226,0.0178
SCHLIGR33,0.0047,0.9759,0.0031,0.0049,0.0054,0.006
HAN021,0.0733,0.5537,0.003,0.1943,0.103,0.0727
BRU155,0.123,0.5435,0.004,0.0404,0.2249,0.0642
BOHHAS18,0.8854,0.0199,0.0032,0.0091,0.0252,0.0572
RIETH64,0.7243,0.1878,0.0031,0.0114,0.0151,0.0582
SCHLIDR25,0.0276,0.1049,0.004,0.8078,0.0312,0.0246
RIETH17,0.5404,0.3643,0.0033,0.0129,0.0172,0.0619
UST37,0.7215,0.0346,0.003,0.0214,0.0577,0.1618
SCHLIGR109,0.0102,0.9611,0.0038,0.0052,0.0072,0.0124
RIETH30,0.0395,0.1396,0.0369,0.2574,0.047,0.4797
RIETH27,0.8165,0.1085,0.0031,0.0146,0.0167,0.0407
SCHLIGR91,0.0049,0.9721,0.004,0.0051,0.0059,0.008
SCHLIGR10,0.0049,0.9244,0.0524,0.0051,0.006,0.0072
BOHBU340,0.3808,0.0187,0.0042,0.0114,0.1715,0.4133
SCHLIGR270,0.0049,0.9722,0.0042,0.0051,0.0058,0.0078
SCHLIGR35,0.0137,0.8656,0.005,0.0099,0.0064,0.0994
LIM101,0.051,0.032,0.005,0.7354,0.0162,0.1604
LIM101,0.051,0.0313,0.0048,0.729,0.0171,0.1668
KON305,0.0099,0.0146,0.0047,0.018,0.0082,0.9447
FREIBRUM6,0.005,0.0074,0.9755,0.005,0.003,0.004
FREIBRUM13,0.0118,0.0152,0.938,0.0104,0.0116,0.013
FREIBRUM14,0.005,0.0043,0.9791,0.0046,0.003,0.004
BUR15,0.0074,0.0088,0.9631,0.0043,0.0048,0.0116
BUR6,0.0039,0.0057,0.9788,0.004,0.003,0.0047
BUR10,0.003,0.006,0.9791,0.004,0.003,0.0049
BUR19,0.0031,0.006,0.979,0.004,0.003,0.0049
ALD17,0.2841,0.0049,0.003,0.1129,0.0117,0.5834
SCHIF3,0.015,0.0124,0.004,0.009,0.0139,0.9457
LIM066,0.0473,0.0519,0.0041,0.0574,0.0093,0.8299
RIETH62,0.0607,0.0167,0.0068,0.0216,0.0152,0.8791
FREIBRUM11,0.0126,0.0386,0.0179,0.0261,0.0246,0.8803
FREIBRUM1,0.0114,0.051,0.0122,0.0263,0.0089,0.8901
RIETH38,0.9091,0.0112,0.003,0.0178,0.0103,0.0486
WSL001,0.0102,0.0172,0.004,0.0126,0.0313,0.9247
KON241,0.0112,0.0117,0.003,0.0072,0.0161,0.9508
RIETH40,0.0338,0.005,0.003,0.0149,0.0093,0.934
KON135,0.0333,0.005,0.003,0.0068,0.0084,0.9434
KON8,0.0121,0.006,0.003,0.0066,0.008,0.9643
KON15,0.0219,0.0084,0.003,0.0083,0.0166,0.9418
HAN015,0.0471,0.7259,0.004,0.0209,0.0123,0.1897
KON18,0.012,0.0121,0.0033,0.005,0.0083,0.9592
KON19,0.0127,0.0134,0.0036,0.007,0.0117,0.9517
RIETH13,0.8478,0.0177,0.003,0.0092,0.0107,0.1117
RIETH18,0.931,0.0106,0.003,0.0116,0.01,0.0339
BOHHAS6,0.8851,0.0097,0.0047,0.0113,0.0074,0.0818
WSL041,0.0157,0.0286,0.0042,0.0101,0.025,0.9164
WSL002,0.0081,0.037,0.004,0.0127,0.068,0.8702
WSL002,0.008,0.0366,0.004,0.0128,0.0686,0.8701
HAN035,0.0342,0.034,0.003,0.0526,0.0256,0.8506
RIETH54,0.0382,0.0087,0.006,0.1737,0.1975,0.5759
RIETH11,0.0271,0.009,0.006,0.3287,0.2191,0.4101
BOHHAS43,0.8651,0.0082,0.0038,0.011,0.0103,0.1015
RIETH16,0.0206,0.0106,0.005,0.1515,0.1495,0.6628
HAN040,0.0643,0.1658,0.003,0.0142,0.0473,0.7053
UEBERL42,0.0056,0.0074,0.0078,0.0078,0.9607,0.0108
ALD64,0.0711,0.0061,0.0076,0.0104,0.875,0.0298
FREI1,0.004,0.0056,0.9797,0.0041,0.003,0.0037
FREI59,0.004,0.006,0.979,0.004,0.003,0.004
