Ind,Pop,aest01_1,aest06_1,aest07_1,aest10_1,aest15_1,aest18_1,aest24_1,aest25_1,aest26_1,aest28_1,aest29_1,aest31_1,aest35_1,aest36_1
BOHBU42,BOB_10_2012,242,218,256,280,312,140,298,128,145,356,216,313,148,326
BOHBU431,BOB_3_2018,242,236,261,280,312,164,298,122,157,389,211,313,148,326
BOHBU434,BOB_3_2018,236,218,261,280,312,140,298,128,145,392,216,318,148,326
BOHBU437,BOB_4_2018,236,218,261,280,312,140,298,128,145,383,216,308,148,326
BOHBU440,BOB_6_2018,242,218,256,280,312,140,298,128,157,389,216,313,148,326
BOHBU451,BOB_8_2018,236,218,256,280,312,140,298,128,145,392,216,318,148,326
BOHBU452,BOB_8_2018,242,218,256,280,312,160,298,122,157,383,216,313,148,326
BOHBU454,BOB_8_2018,242,218,256,280,312,140,298,128,145,389,216,0,148,326
BOHBU455,BOB_8_2018,242,217,261,280,312,160,301,122,157,338,216,318,148,326
BOHBU461,BOB_8_2018,242,236,261,280,312,160,298,128,157,356,211,313,148,326
BOHBU465,BOB_8_2018,236,218,256,280,312,140,298,128,157,389,216,318,148,326
BOHBU468,BOB_9_2018,242,218,261,295,312,160,292,128,145,383,216,308,148,326
BOHBU47,BOB_2_2013,0,218,256,0,312,140,298,128,145,383,216,313,148,326
BOHBU48,BOB_5_2013,0,218,256,280,312,140,298,128,145,0,216,0,148,326
BOHBU482,BOB_10_2018,242,218,256,280,312,144,298,128,157,389,216,313,148,326
BOHBU485,BOB_10_2018,242,236,261,280,312,160,298,128,157,383,211,308,148,322
BOHBU488,BOB_10_2018,0,218,256,280,312,140,298,128,145,383,216,0,148,326
BOHBU489,BOB_10_2018,0,218,261,280,312,140,295,128,145,383,216,0,148,326
BOHBU494,BOB_10_2018,242,218,261,280,312,164,298,122,157,356,211,308,148,326
BOHBU495,BOB_10_2018,242,218,256,280,312,160,301,122,157,383,211,308,148,326
BOHBU5,BOB_12_2011,242,218,256,280,312,164,298,122,157,356,211,313,148,326
BOHBU50,BOB_6_2013,0,218,256,280,312,140,298,128,145,389,216,318,148,326
BOHBU505,BOB_10_2018,0,218,256,295,312,140,292,128,145,389,216,313,148,326
BOHBU506,BOB_10_2018,0,218,256,280,312,144,298,128,157,389,216,313,148,326
BOHBU509,BOB_10_2018,242,218,261,280,312,140,298,128,145,383,211,313,148,326
BOHBU525,BOB_10_2018,0,236,261,280,312,160,298,122,142,356,211,0,148,326
BOHBU527,BOB_9_2019,236,218,256,280,312,140,298,128,145,383,216,315,148,326
BOHBU534,BOB_9_2019,254,218,261,280,312,160,298,122,141,383,211,308,148,326
BOHBU538,BOB_9_2019,254,218,261,280,312,140,298,128,157,392,211,313,148,322
BOHBU539,BOB_9_2019,254,236,261,295,312,164,298,128,157,356,211,315,148,322
BOHBU54,BOB_8_2013,236,218,261,295,312,144,298,128,178,383,211,308,148,326
BOHBU543,BOB_9_2019,242,236,256,280,312,160,298,122,141,356,211,308,148,326
BOHBU545,BOB_9_2019,242,218,256,280,312,160,298,122,157,339,211,318,148,326
BOHBU553,BOB_9_2019,242,218,261,280,312,160,298,122,157,383,216,308,148,326
BOHBU57,BOB_9_2013,242,218,256,280,312,160,301,122,157,383,216,308,148,326
BOHBU58,BOB_10_2013,254,218,256,320,312,164,319,128,145,0,216,308,148,326
BOHBU59,BOB_10_2013,0,218,256,280,312,0,298,128,145,389,216,313,148,326
BOHBU6,BOB_12_2011,242,218,261,280,312,160,301,122,157,356,211,308,148,326
BOHBU60,BOB_12_2013,242,218,256,280,312,164,301,128,157,356,216,308,148,326
BOHBU62,BOB_12_2013,254,236,256,280,312,160,298,128,157,0,211,318,148,322
BOHBU63,BOB_12_2013,242,236,261,280,312,160,298,128,157,383,211,308,148,326
BOHBU64,BOB_12_2013,242,236,261,280,312,160,298,122,157,356,211,313,148,322
BOHBU65,BOB_1_2014,254,236,261,280,312,160,298,128,178,356,211,313,148,322
BOHBU66,BOB_1_2014,254,218,261,280,312,160,298,122,157,356,211,318,148,326
BOHBU67,BOB_2_2014,236,218,256,280,312,140,298,128,145,383,216,318,148,326
BOHBU68,BOB_2_2014,254,218,261,280,312,164,298,122,142,392,211,313,140,322
BOHBU69,BOB_3_2014,242,236,261,288,312,144,298,128,178,383,211,308,148,326
BOHBU70,BOB_7_2014,242,218,256,280,312,140,298,128,142,389,216,313,148,326
BOHBU73,BOB_7_2014,236,218,256,280,312,140,298,128,145,383,216,0,148,326
BOHBU75,BOB_7_2014,0,218,256,280,312,140,0,0,145,389,216,318,148,326
