"","grp.grp"
"BUR54","6"
"BUR56","6"
"BUR57","6"
"BUR58","6"
"BUR59","6"
"RIETH41","4"
"RIETH42","4"
"SCHIF4","1"
"SCHIF5","1"
"SCHIF7","3"
"UST10","5"
"UST11","1"
"UST12","5"
"UST15","1"
"UST16","1"
"UST17","1"
"UST18","3"
"UST9","1"
"FRIC22","3"
"FRIC23","3"
"FRIC24","3"
"FRIC25","3"
"FRIC26","3"
"FRIC27","3"
"FRIC29","3"
"FRIC30","5"
"FRIC31","3"
"FRIC32","3"
"FRIC33","3"
"FRIC34","3"
"FRIC35","3"
"FRIC36","3"
"SCHLIGR46","5"
"ALD51","3"
"ALD52","5"
"KON3","1"
"KON4","1"
"NEUCH4","1"
"NEUCH5","1"
"RIETH43","4"
"RIETH44","4"
"SCHIF8","1"
"UST21","5"
"UST22","1"
"UST23","1"
"UST24","3"
"UST25","4"
"UST26","1"
"UST27","5"
"UST29","5"
"UST30","1"
"BUR60","6"
"BUR61","6"
"BUR62","6"
"BUR63","6"
"BUR64","6"
"BUR67","6"
"BUR68","6"
"FREI59","6"
"FRIC37","1"
"FRIC38","3"
"FRIC39","1"
"FRIC40","3"
"FRIC41","3"
"FRIC42","1"
"FRIC43","3"
"FRIC44","3"
"FRIC45","3"
"FRIC46","3"
"FRIC47","3"
"FRIC48","3"
"FRIC49","3"
"SCHLIDR37","5"
"UEBERL20","1"
"UEBERL21","1"
"UEBERL22","1"
"UEBERL23","1"
"UEBERL24","1"
"BOHHAS41","1"
"BOHHAS42","3"
"ALD53","1"
"ALD54","1"
"BOHBU60","5"
"BOHBU61","5"
"FREI60","6"
"FREIBRUM13","6"
"FREIBRUM14","6"
"NEUCH6","1"
"RIETH45","5"
"UEBERL26","1"
"BUR69","6"
"BUR70","6"
"BUR71","6"
"BUR72","6"
"BUR73","6"
"BUR74","6"
"ALD55","1"
"RIETH47","5"
"RIETH48","4"
"UST31","1"
"BOHBU63","5"
"BOHBU64","4"
"FRIC50","1"
"FRIC51","1"
"FRIC52","3"
"FRIC53","1"
"FRIC54","1"
"BOHBU65","5"
"BOHBU66","4"
"RIETH50","5"
"RIETH51","5"
"UEBERL28","1"
"UEBERL29","1"
"UEBERL30","1"
"UST33","3"
"UST34","1"
"SCHLIDR38","1"
"BOHBU67","3"
"FREI61","6"
"FREIBRUM16","6"
"UEBERL31","1"
"ALD59","3"
"ALD60","1"
"RIETH52","4"
"RIETH53","3"
"BOHBU68","4"
"UEBERL32","5"
"UEBERL33","1"
"BOHBU69","1"
"UEBERL34","1"
"SCHLIDR39","5"
"UST36","1"
"FRIC55","1"
"UEBERL35","1"
"FREI63","6"
"SCHLIGR49","4"
"SCHLIGR50","5"
"UEBERL36","1"
"UEBERL38","1"
"FREI66","6"
"FREI67","6"
"SCHIF11","1"
"BARB2","4"
"SCHLIGR55","4"
"SCHLIGR58","4"
"SCHLIGR60","4"
"SCHLIGR62","4"
"SCHLIGR63","4"
"SCHLIGR67","4"
"UEBERL39","3"
"SCHLI95","5"
"SCHLI96","4"
"SCHIF12","1"
"SCHIF13","1"
"FREI68","6"
"SCHLIGR75","4"
"SCHLIGR76","4"
"SCHLIGR77","4"
"SCHLIGR78","4"
"SCHLIGR85","4"
"BOHBU70","3"
"BOHBU72","3"
"BOHBU74","1"
"UEBERL41","1"
"UEBERL42","3"
"UEBERL43","1"
"UEBERL44","1"
"UEBERL48","1"
"UEBERL50","1"
"BOHBU76","4"
"BOHBU77","5"
"BOHHAS43","1"
"SCHIF14","1"
"SCHIF15","1"
"SCHIF16","1"
"SCHIF17","1"
"SCHLIDR40","3"
"SCHLIDR41","3"
"SCHLIDR42","5"
"SCHLIGR87","4"
"SCHLIGR88","5"
"SCHLIGR90","4"
"SCHLIGR91","4"
"SCHLIGR92","4"
"SCHLIGR93","5"
"BUR75","6"
"UST37","1"
"SCHIF18","1"
"SCHIF19","1"
"SCHLIGR97","4"
"SCHLIGR98","4"
"ALD62","1"
"ALD63","1"
"BOHBU78","3"
"BOHBU79","5"
"BOHHAS45","5"
"BOHHAS46","3"
"UEBERL53","2"
"UEBERL54","1"
"UEBERL55","2"
"BOHBU80","3"
"BOHBU81","3"
"BUR76","6"
"UEBERL56","1"
"UEBERL57","1"
"UEBERL58","1"
"UEBERL59","1"
"UST38","3"
"UST39","4"
"UST40","5"
"UST41","4"
"FRIC56","3"
"SCHLIDR43","5"
"SCHLIDR45","5"
"UEBERL61","3"
"UEBERL62","1"
"BOHBU117","1"
"BOHBU119","4"
"BOHBU121","3"
"BOHBU122","3"
"FRIC57","3"
"FRIC58","4"
"RIETH54","3"
"RIETH55","3"
"UST42","5"
"UST43","1"
"KON8","1"
"SCHIF20","1"
"SCHIF21","1"
"SCHIF22","1"
"SCHLIDR46","5"
"SCHLIGR102","4"
"SCHLIGR103","4"
"ALD64","1"
"BOHHAS47","3"
"BOHHAS48","3"
"BOHBU82","1"
"BOHBU83","4"
"ALD65","1"
"ALD66","1"
"KON10","1"
"KON11","2"
"KON12","1"
"KON13","1"
"KON9","1"
"RIETH56","3"
"RIETH57","5"
"SCHLIGR106","4"
"UEBERL64","2"
"UEBERL66","2"
"FREI71","6"
"FREI72","6"
"NEUCH10","1"
"NEUCH8","1"
"BUR78","6"
"BUR79","6"
"SCHIF23","1"
"UEBERL67","1"
"UEBERL68","1"
"UEBERL69","1"
"UEBERL71","1"
"BOHBU85","5"
"BOHBU86","3"
"BOHBU87","1"
"BOHBU88","1"
"BOHBU90","1"
"BOHBU91","3"
"BUR80","6"
"BUR81","5"
"BUR82","5"
"NEUCH11","3"
"BOHHAS49","5"
"BOHHAS50","3"
"BOHHAS51","3"
"BOHHAS52","3"
"BOHHAS53","3"
"BOHBU92","5"
"BOHBU96","5"
"RIETH58","3"
"RIETH59","5"
"KON14","1"
"KON15","1"
"KON16","1"
"KON17","1"
"FREI74","6"
"FREI75","6"
"BUR83","6"
"KON18","3"
"KON19","5"
"RIETH60","5"
"RIETH61","5"
"UEBERL74","1"
"UEBERL75","1"
"UEBERL76","1"
"UEBERL77","2"
"SCHIF24","3"
"SCHIF25","5"
"BOHBU97","3"
"BOHBU99","4"
"ALD67","1"
"BOHBU100","5"
"BOHBU102","3"
"KON20","1"
"KON21","1"
"RIETH62","5"
"UEBERL78","1"
"UEBERL79","1"
"UEBERL81","1"
"UEBERL82","1"
"FRIC60","6"
"RIETH64","5"
"RIETH65","3"
"UEBERL83","3"
"UEBERL84","1"
"BOHBU103","1"
"BOHBU104","5"
"BOHBU105","3"
"UEBERL85","1"
"UEBERL87","3"
"UEBERL88","1"
"UEBERL89","1"
"FREI77","6"
"UEBERL91","1"
"UEBERL92","2"
"UEBERL93","1"
"BOHBU107","3"
"SCHLIDR49","5"
"SCHLIDR50","3"
"SCHLIDR51","5"
"SCHLIGR109","5"
"FREI78","6"
"BOHBU108","5"
"SCHLIDR52","5"
"SCHLIDR53","3"
"BOHBU124","1"
"BOHBU125","3"
"BOHBU126","3"
"BOHBU127","3"
"BOHBU128","4"
"BOHBU131","4"
"BOHBU132","3"
"BOHBU133","3"
"UEBERL100","1"
"UEBERL102","1"
"UEBERL98","1"
"UEBERL99","1"
"FREI82","6"
"FREI83","6"
"SCHLIDR59","5"
"UEBERL103","1"
"UEBERL104","1"
"UEBERL105","1"
"UEBERL107","1"
"UEBERL108","1"
"UEBERL109","1"
"UEBERL110","5"
"UEBERL111","1"
"UEBERL112","1"
"UEBERL115","3"
"BUR85","6"
"SCHLIDR61","5"
"SCHLIDR62","5"
"BUR86","6"
"BUR87","6"
"BUR88","6"
"NEUCH12","3"
"BOHBU112","3"
"BUR90","6"
"BUR91","6"
"SCHLIDR67","3"
"SCHLIDR68","4"
"SCHLIDR69","5"
"SCHLIDR70","3"
"SCHLIDR71","3"
"SCHLIDR72","3"
"SCHLIDR73","5"
"SCHLIDR74","5"
"FREI80","6"
"ALD70","1"
"ALD71","1"
"RIETH67","5"
"FREI81","6"
"BOHBU113","1"
"SCHIF28","1"
"BRU002","6"
"LIM004","3"
"LIM005","1"
"LIM006","1"
"LIM007","1"
"LIM009","1"
"BRU006","6"
"BRU007","6"
"BRU008","6"
"BRU009","6"
"BRU010","6"
"BRU012","6"
"LIM011","4"
"LIM012","4"
"LIM013","3"
"LIM014","1"
"LIM015","1"
"LIM016","1"
"LIM017","1"
"BOHBU176","3"
"BRU013","6"
"BRU014","6"
"BRU016","6"
"BRU017","6"
"BRU018","4"
"BRU019","6"
"BRU020","6"
"BRU023","6"
"FREI100","6"
"FREI102","6"
"FREI103","6"
"FREI104","6"
"FREI105","6"
"FREI106","6"
"FREI107","6"
"FREI108","6"
"FREI109","6"
"FREI110","6"
"FREI111","6"
"FREI112","6"
"FREI113","6"
"FREI114","6"
"FREI86","6"
"FREI87","6"
"FREI88","6"
"FREI90","6"
"FREI93","6"
"FREI94","6"
"FREI95","6"
"FREI96","6"
"FREI97","6"
"FREI98","6"
"FREI99","6"
"LIM018","1"
"SCHLIDR76","4"
"SCHLIGR234","4"
"WSL002","2"
"WSL003","2"
"WSL004","2"
"WSL005","2"
"WSL006","2"
"WSL007","2"
"WSL008","2"
"WSL009","2"
"WSL010","2"
"SCHIF29","1"
"SCHIF30","1"
"BUR98","6"
"KON24","5"
"LIM019","1"
"LIM020","1"
"LIM022","5"
"LIM023","1"
"NEUCH13","1"
"SCHIF32","1"
"SCHIF33","1"
"SCHIF34","1"
"WSL011","2"
"WSL012","2"
"BRU025","6"
"BRU026","3"
"BRU031","3"
"BRU032","6"
"BRU033","6"
"BRU034","6"
"BRU035","6"
"BRU036","6"
"BOHBU178","3"
"BOHBU179","5"
"BOHBU180","5"
"BOHBU181","3"
"BOHBU183","5"
"SCHIF35","1"
"SCHIF36","1"
"FRIC61","3"
"SCHLIDR80","5"
"SCHLIDR81","5"
"SCHLIDR82","5"
"SCHLIDR83","5"
"SCHLIDR84","5"
"SCHLIDR85","5"
"SCHLIDR86","5"
"SCHLIDR87","5"
"SCHLIGR270","4"
"BOHBU185","1"
"BOHBU186","3"
"BOHBU187","3"
"BOHBU188","1"
"BOHBU189","1"
"BUR102","6"
"BUR104","6"
"BUR105","6"
"BUR106","6"
"BUR107","6"
"BUR109","6"
"BUR110","6"
"BUR111","6"
"BUR112","6"
"BUR114","6"
"BUR115","6"
"BUR116","6"
"BUR117","6"
"BUR119","6"
"BUR120","6"
"KON31","1"
"NEUCH16","1"
"NEUCH17","1"
"NEUCH19","1"
"NEUCH20","1"
"NEUCH21","1"
"NEUCH22","1"
"NEUCH23","1"
