"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60"
"SCS_2013",2,1,1,1,2,2,1,2,1,2,1,1,1,3,1.5,0.244897959183674,0,0,0,0.244897959183674,0.244897959183674,0,0.244897959183674,0,0.244897959183674,0,0,0,0.448979591836735,0.119533527696793,0.285714285714286,0,0,0,0.285714285714286,0.285714285714286,0,0.285714285714286,0,0.285714285714286,0,0,0,0.523809523809524,0.139455782312925,0.639701696570802,NA,NA,NA,0.639701696570802,0.639701696570802,NA,0.639701696570802,NA,0.639701696570802,NA,NA,NA,0.669336279706564,0.644640793760095
"SCD_2013",1,2,1,3,3,1,2,3,2,2,1,1,2,2,1.85714285714286,0,0.48,0,0.64,0.56,0,0.48,0.56,0.32,0.32,0,0,0.32,0.48,0.297142857142857,0,0.6,0,0.8,0.7,0,0.6,0.7,0.4,0.4,0,0,0.4,0.6,0.371428571428571,NA,0.961406564361458,NA,0.949796545384325,0.802269175340272,NA,0.961406564361458,0.802269175340272,0.724667671903595,0.724667671903595,NA,NA,0.724667671903595,0.961406564361458,0.845839733873337
"BOH_2013",1,2,1,3,2,2,2,1,2,2,1,1,1,2,1.64285714285714,0,0.444444444444444,0,0.5,0.277777777777778,0.277777777777778,0.444444444444444,0,0.444444444444444,0.277777777777778,0,0,0,0.277777777777778,0.21031746031746,0,0.533333333333333,0,0.6,0.333333333333333,0.333333333333333,0.533333333333333,0,0.533333333333333,0.333333333333333,0,0,0,0.333333333333333,0.252380952380952,NA,0.898996026681149,NA,0.724059704198338,0.675721005434548,0.675721005434548,0.898996026681149,NA,0.898996026681149,0.675721005434548,NA,NA,NA,0.675721005434548,0.765491475747497
"NEU_2013",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1.07142857142857,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0.0267857142857143,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.0357142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.794949052073454,NA,NA,NA,NA,0.794949052073454
"UST_2013",2,2,1,3,4,2,2,2,3,4,2,2,2,3,2.42857142857143,0.48,0.4352,0,0.2176,0.6976,0.0768,0.2688,0.0768,0.5696,0.3456,0.1472,0.4928,0.4032,0.5632,0.341028571428571,0.5,0.453333333333333,0,0.226666666666667,0.726666666666667,0.08,0.28,0.08,0.593333333333333,0.36,0.153333333333333,0.513333333333333,0.42,0.586666666666667,0.355238095238095,0.961406564361458,0.883906469238659,NA,0.49855443087829,0.903946570709683,0.45490600547559,0.665734141760801,0.45490600547559,0.843159323762697,0.50936594055523,0.536878755983497,0.985787208265853,0.834774679896685,0.870678775184448,0.723384990119114
"KON_2013",1,1,1,1,1,1,1,2,2,1,1,1,1,1,1.14285714285714,0,0,0,0,0,0,0,0.444444444444444,0.444444444444444,0,0,0,0,0,0.0634920634920635,0,0,0,0,0,0,0,0.666666666666667,0.666666666666667,0,0,0,0,0,0.0952380952380952,NA,NA,NA,NA,NA,NA,NA,0.898996026681149,0.898996026681149,NA,NA,NA,NA,NA,0.898996026681149
"FRI_2013",2,2,1,3,2,1,2,1,2,1,1,1,2,3,1.71428571428571,0.359861591695502,0.315263360246059,0,0.361399461745483,0.359861591695502,0,0.315263360246059,0,0.0384467512495195,0,0,0,0.207612456747405,0.39677047289504,0.168177074751469,0.367058823529412,0.32156862745098,0,0.368627450980392,0.367058823529412,0,0.32156862745098,0,0.0392156862745099,0,0,0,0.211764705882353,0.404705882352941,0.171540616246499,0.774718506753195,0.718991190513577,NA,0.593060004415949,0.774718506753195,NA,0.718991190513577,NA,0.39463307887143,NA,NA,NA,0.600247211555205,0.679384920690141,0.656843076258284
"BOB_2014",2,2,1,5,5,3,2,3,3,4,3,2,2,3,2.85714285714286,0.18,0.357777777777778,0,0.662222222222222,0.677777777777778,0.184444444444444,0.231111111111111,0.557777777777778,0.237777777777778,0.464444444444445,0.184444444444444,0.42,0.444444444444444,0.631111111111111,0.373809523809524,0.186206896551724,0.370114942528736,0,0.685057471264368,0.701149425287356,0.190804597701149,0.239080459770115,0.577011494252874,0.245977011494253,0.480459770114943,0.190804597701149,0.43448275862069,0.459770114942529,0.652873563218391,0.386699507389163,0.571429840295638,0.771990832574312,NA,0.756409472958586,0.797686143642302,0.476009251187649,0.624985234414022,0.802351062155944,0.523198707644562,0.63019091621555,0.476009251187649,0.859998033904004,0.898996026681149,0.929873658666649,0.701471417809848
"RIE_2014",3,2,1,4,6,1,1,3,3,3,3,2,2,4,2.71428571428571,0.541666666666667,0.152777777777778,0,0.680555555555556,0.777777777777778,0,0,0.625,0.652777777777778,0.652777777777778,0.625,0.486111111111111,0.277777777777778,0.583333333333333,0.432539682539683,0.590909090909091,0.166666666666667,0,0.742424242424242,0.848484848484848,0,0,0.681818181818182,0.712121212121212,0.712121212121212,0.681818181818182,0.53030303030303,0.303030303030303,0.636363636363636,0.471861471861472,0.826722983459363,0.542819926336102,NA,0.871637001875902,0.850067453463334,NA,NA,0.911530267796712,0.970326335583036,0.970326335583036,0.911530267796712,0.972909170063579,0.675721005434548,0.725237861542094,0.838984418994038
"UEB_2014",3,2,1,3,1,1,2,2,3,2,2,1,3,2,2,0.106481481481482,0.197530864197531,0,0.203703703703704,0,0,0.239197530864197,0.313271604938272,0.290123456790123,0.0540123456790125,0.0540123456790125,0,0.415123456790124,0.152777777777778,0.144731040564374,0.10952380952381,0.203174603174603,0,0.20952380952381,0,0,0.246031746031746,0.322222222222222,0.298412698412698,0.0555555555555557,0.0555555555555557,0,0.426984126984127,0.157142857142857,0.148866213151927,0.413831254577788,0.589715506629329,NA,0.481859812237204,NA,NA,0.633594298473325,0.716619572440294,0.548723121928772,0.421878409917991,0.421878409917991,NA,0.727114906963271,0.542819926336102,0.549803521942207
