MLG,aest06_1_0,aest07_1_0,aest15_1_0,aest26_1_0,aest28_1_0,aest35_1_0,aest36_1_0,aest01_1_0,aest10_1_0,aest18_1_0,aest24_1_0,aest25_1_0,aest29_1_0,aest31_1_0
MLG418,236,261,312,157,356,148,322,242,280,160,298,122,211,313
MLG419,236,261,312,157,356,148,322,242,280,160,298,122,211,318
MLG420,236,261,312,157,356,148,322,242,280,160,298,128,211,318
MLG421,236,261,312,157,356,148,322,254,295,164,298,128,211,313
MLG422,236,261,312,157,356,148,326,236,295,164,298,128,211,313
MLG423,236,261,312,157,356,148,326,242,280,160,298,122,211,318
MLG424,236,261,312,157,356,148,326,242,280,160,298,128,211,313
MLG425,236,261,312,157,356,148,326,242,280,164,298,122,211,318
MLG426,236,261,312,157,383,148,322,242,280,160,298,128,211,308
MLG427,236,261,312,157,383,148,326,242,280,160,298,122,211,308
MLG428,236,261,312,157,383,148,326,242,280,160,298,128,211,308
MLG429,236,261,312,157,383,148,326,242,280,160,301,122,211,308
MLG430,236,261,312,157,389,148,322,236,280,160,298,128,211,308
MLG431,236,261,312,157,389,148,326,242,280,164,298,122,211,313
MLG432,236,261,312,157,389,152,322,254,295,144,295,128,216,300
MLG433,236,261,312,175,353,148,326,242,280,160,313,122,216,313
MLG434,236,261,312,178,356,148,322,236,295,164,298,128,211,318
MLG435,236,261,312,178,356,148,322,254,280,160,298,128,211,313
MLG436,236,261,312,178,356,148,322,254,295,164,298,128,211,313
MLG437,236,261,312,178,377,148,322,242,295,140,298,128,211,308
MLG438,236,261,312,178,383,148,322,236,295,140,298,128,211,308
MLG439,236,261,312,178,383,148,322,242,280,144,298,128,211,308
MLG440,236,261,312,178,383,148,322,242,288,144,298,128,211,308
MLG441,236,261,312,178,383,148,322,242,288,144,298,128,241,308
MLG442,236,261,312,178,383,148,322,242,295,144,298,128,211,308
MLG443,236,261,312,178,383,148,326,236,280,144,298,128,211,308
MLG444,236,261,312,178,383,148,326,236,295,140,298,128,211,308
MLG445,236,261,312,178,383,148,326,242,288,144,298,128,211,308
MLG446,236,261,312,178,383,148,326,242,295,144,298,128,211,308
MLG447,236,261,312,178,389,148,326,236,295,140,298,128,211,308
MLG448,236,266,317,157,401,152,342,260,294,136,304,137,204,313
MLG449,236,281,317,148,377,164,342,266,294,136,295,137,209,323
