		aest01_1	aest06_1	aest07_1	aest10_1	aest15_1	aest18_1	aest24_1	aest25_1	aest26_1	aest28_1	aest29_1	aest31_1	aest35_1	aest36_1
BOHBU128	BOB	242	218	256	280	312	140	295	122	142	383	216	313	148	326
BOHBU129	BOB	0	218	256	280	312	140	298	128	142	383	216	313	148	326
BOHBU13	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU130	BOB	0	218	256	295	312	140	298	128	145	389	216	280	148	326
BOHBU131	BOB	242	236	256	280	312	140	298	122	157	392	211	318	148	326
BOHBU132	BOB	236	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU133	BOB	242	218	261	280	312	140	298	128	145	389	216	313	148	326
BOHBU134	BOB	0	218	311	280	312	140	298	128	145	0	216	0	148	322
BOHBU135	BOB	236	218	261	280	312	160	295	128	157	383	211	308	152	322
BOHBU136	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU137	BOB	242	218	261	280	312	140	298	128	145	389	216	315	148	326
BOHBU138	BOB	242	218	261	280	312	140	298	128	145	389	216	315	148	326
BOHBU139	BOB	242	218	261	280	312	160	301	122	157	383	216	308	148	322
BOHBU14	BOB	242	218	256	280	312	140	298	128	145	392	216	313	148	326
BOHBU140	BOB	242	218	261	280	312	140	298	122	145	383	216	315	148	326
BOHBU141	BOB	242	218	256	280	312	160	301	122	157	356	216	308	148	326
BOHBU142	BOB	236	218	256	280	312	140	298	128	145	389	216	315	148	326
BOHBU143	BOB	242	218	256	280	312	140	298	128	145	389	216	315	148	326
BOHBU144	BOB	242	236	256	280	312	160	298	122	157	389	211	315	148	326
BOHBU145	BOB	236	218	256	295	312	140	298	128	145	389	216	318	148	326
BOHBU146	BOB	242	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU147	BOB	242	218	256	280	312	140	298	128	145	383	216	308	148	326
BOHBU148	BOB	242	236	261	280	312	160	298	122	141	383	211	308	148	322
BOHBU149	BOB	242	218	256	280	312	140	298	128	145	383	216	315	148	326
BOHBU15	BOB	242	218	256	280	312	140	298	128	145	383	216	308	148	326
BOHBU150	BOB	242	218	261	280	312	160	298	122	157	383	211	308	148	326
BOHBU151	BOB	242	218	256	280	312	140	298	128	145	359	216	318	148	326
BOHBU152	BOB	242	218	256	280	312	140	298	128	145	389	216	315	148	326
BOHBU153	BOB	236	218	256	280	312	140	298	128	145	389	216	315	148	326
BOHBU154	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU155	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU156	BOB	242	236	261	280	312	160	298	128	157	356	211	318	148	322
BOHBU157	BOB	236	218	256	295	312	140	298	128	145	389	216	318	148	326
